Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/10 0:00,00 to 17,Female,No high school diploma,"D: 15,000 to 24,999",6386
1/1/10 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",6967
1/1/10 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",8432
1/1/10 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",8606
1/1/10 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",8907
1/1/10 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",9139
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",9228
1/1/10 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",11302
1/1/10 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",13619
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",14892
1/1/10 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",15038
1/1/10 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",18515
1/1/10 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",18733
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",20167
1/1/10 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",21116
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",22945
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",23578
1/1/10 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",24781
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",24958
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",25882
1/1/10 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",27814
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",28702
1/1/10 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",28729
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",28867
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",30088
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",30722
1/1/10 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",35129
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",35909
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",38084
1/1/10 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",38266
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",38792
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",39453
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",40875
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",41076
1/1/10 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",43721
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",45842
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",46221
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",51157
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",51319
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",55103
1/1/10 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",57098
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",58847
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",60002
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",62167
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",64614
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",65563
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",67289
1/1/10 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",72036
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",73450
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",73522
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",73833
1/1/10 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",75130
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",75754
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",76520
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",78561
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",79453
1/1/10 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",79553
1/1/10 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",81088
1/1/10 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",81385
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",82404
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",85110
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",90675
1/1/10 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",93885
1/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",98499
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",103469
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",104478
1/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",107427
1/1/10 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",107504
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",108052
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",111055
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",127848
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",133220
1/1/10 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",136110
1/1/10 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",136694
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",138923
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",138952
1/1/10 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",141254
1/1/10 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",146005
1/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",152795
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",168951
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",184398
1/1/10 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",190829
1/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",192339
1/1/10 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",192622
1/1/10 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",209509
1/1/10 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",215851
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",220408
1/1/10 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",225261
1/1/10 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",226209
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",234677
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",234951
1/1/10 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",236424
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",239971
1/1/10 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",244978
1/1/10 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",252271
1/1/10 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",253247
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",269680
1/1/10 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",276576
1/1/10 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",287963
1/1/10 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",295536
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",305706
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",310460
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",321434
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",325516
1/1/10 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",339017
1/1/10 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",345253
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",356706
1/1/10 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",363540
1/1/10 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",369566
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",374128
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",374227
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",386929
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",408505
1/1/10 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",412122
1/1/10 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",436288
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",441967
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",442917
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",443607
1/1/10 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",470369
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",474116
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",491109
1/1/10 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",496567
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",516029
1/1/10 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",533513
1/1/10 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",535027
1/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",567753
1/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",581119
1/1/10 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",596761
1/1/10 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",610512
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",624308
1/1/10 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",666858
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",687153
1/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",755781
1/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1424758
1/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",1209
1/1/11 0:00,00 to 17,Male,High school or equivalent,"D: 15,000 to 24,999",1312
1/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",1324
1/1/11 0:00,00 to 17,Male,High school or equivalent,"C: 10,000 to 14,999",1328
1/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",1614
1/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","H: 75,000 and over",1618
1/1/11 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",1647
1/1/11 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",1686
1/1/11 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",2190
1/1/11 0:00,00 to 17,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",2394
1/1/11 0:00,00 to 17,Female,High school or equivalent,"C: 10,000 to 14,999",2561
1/1/11 0:00,00 to 17,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",2859
1/1/11 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",3220
1/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",4089
1/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","A: 0 to 4,999",4421
1/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",4503
1/1/11 0:00,00 to 17,Male,High school or equivalent,"A: 0 to 4,999",5434
1/1/11 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",5966
1/1/11 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",6419
1/1/11 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",6903
1/1/11 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",7168
1/1/11 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",9049
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",9363
1/1/11 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",10327
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",10372
1/1/11 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",10588
1/1/11 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",13283
1/1/11 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",13821
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",15250
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",16777
1/1/11 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",18925
1/1/11 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",20806
1/1/11 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",21236
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",21851
1/1/11 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",22729
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",25292
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",25812
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",25829
1/1/11 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",25907
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",27438
1/1/11 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",27629
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",28190
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",29080
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",33485
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",34214
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",37367
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",38236
1/1/11 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",38335
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",43062
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",43331
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",47668
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",49166
1/1/11 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",51155
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",52376
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",53447
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",54755
1/1/11 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",57985
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",58285
1/1/11 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",63343
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",64250
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",64832
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",65587
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",66646
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",67525
1/1/11 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",68997
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",71541
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",75921
1/1/11 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",77617
1/1/11 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",80402
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",80989
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",82082
1/1/11 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",86809
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",87337
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",88513
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",90812
1/1/11 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",91755
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",92725
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",97326
1/1/11 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",100776
1/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",100794
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",102391
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",106705
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",107745
1/1/11 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",107748
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",113687
1/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",114697
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",121211
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",125104
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",126768
1/1/11 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",139946
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",140300
1/1/11 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",148331
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",148745
1/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",152093
1/1/11 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",152780
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",170533
1/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",175775
1/1/11 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",175841
1/1/11 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",175975
1/1/11 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",177781
1/1/11 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",179616
1/1/11 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",188373
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",194826
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",230412
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",231167
1/1/11 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",246973
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",248724
1/1/11 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",264534
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",266304
1/1/11 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",273029
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",286343
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",288293
1/1/11 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",288850
1/1/11 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",291364
1/1/11 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",295383
1/1/11 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",301428
1/1/11 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",305265
1/1/11 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",311597
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",314317
1/1/11 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",323001
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",323702
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",331666
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",331991
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",353200
1/1/11 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",359401
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",367713
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",368797
1/1/11 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",387890
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",412679
1/1/11 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",422294
1/1/11 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",425683
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",427109
1/1/11 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",450644
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",460822
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",462728
1/1/11 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",477882
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",480546
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",483781
1/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",489968
1/1/11 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",519889
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",525597
1/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",542492
1/1/11 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",546856
1/1/11 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",575559
1/1/11 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",634048
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",644826
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",676522
1/1/11 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",679824
1/1/11 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",748885
1/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",777479
1/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1396795
1/1/12 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",1104
1/1/12 0:00,00 to 17,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",1198
1/1/12 0:00,00 to 17,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",1198
1/1/12 0:00,00 to 17,Female,No high school diploma,"H: 75,000 and over",1553
1/1/12 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",1636
1/1/12 0:00,00 to 17,Male,Bachelor's degree or higher,"A: 0 to 4,999",1680
1/1/12 0:00,00 to 17,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",1871
1/1/12 0:00,00 to 17,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",2046
1/1/12 0:00,00 to 17,Female,No high school diploma,"D: 15,000 to 24,999",2075
1/1/12 0:00,00 to 17,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",3208
1/1/12 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",4102
1/1/12 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",4142
1/1/12 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",4166
1/1/12 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",5318
1/1/12 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",6274
1/1/12 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",6291
1/1/12 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",7581
1/1/12 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",7813
1/1/12 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",8966
1/1/12 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",9308
1/1/12 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",9325
1/1/12 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",9647
