ID,Gender,Marital Status,Relationship Rating,Age,Education,Household Income,Employment Status
259,female,married,1,52,"Some college, no degree","150,000 to 174,999",not working - other
260,male,partner,1,47,Master's degree,"35,000 to 39,999","working, self-employed"
260,female,partner,1,42,Bachelor's degree,"35,000 to 39,999","working, self-employed"
261,male,married,1,55,Master's degree,"175,000 or more","working, self-employed"
261,female,married,1,51,Associate degree,"175,000 or more",working as paid employee
262,male,married,1,44,Bachelor's degree,"125,000 to 149,999","working, self-employed"
262,female,married,2,34,Associate degree,"125,000 to 149,999","working, self-employed"
263,male,married,2,39,Bachelor's degree,"60,000 to 74,999",working as paid employee
263,female,married,1,37,Bachelor's degree,"60,000 to 74,999",working as paid employee
264,male,partner,2,51,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
264,female,partner,1,53,Associate degree,"60,000 to 74,999",working as paid employee
265,male,married,1,38,"Some college, no degree","85,000 to 99,999","working, self-employed"
265,female,married,2,31,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",not working - disabled
266,male,married,2,48,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
266,female,married,2,48,"Some college, no degree","60,000 to 74,999",working as paid employee
267,male,married,2,48,Master's degree,"150,000 to 174,999",working as paid employee
267,female,married,2,38,Bachelor's degree,"150,000 to 174,999",working as paid employee
268,male,married,1,51,Master's degree,"125,000 to 149,999",working as paid employee
268,female,married,1,51,Master's degree,"125,000 to 149,999",working as paid employee
269,male,married,1,53,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999","working, self-employed"
269,female,married,1,48,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
270,male,married,1,58,"Some college, no degree","100,000 to 124,999","working, self-employed"
270,female,married,1,56,Master's degree,"100,000 to 124,999",working as paid employee
271,male,married,1,45,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
271,female,married,1,46,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
272,male,partner,2,62,Master's degree,"175,000 or more",working as paid employee
272,female,partner,2,52,Master's degree,"175,000 or more",working as paid employee
273,male,married,2,42,Master's degree,"125,000 to 149,999",working as paid employee
273,female,married,1,41,Bachelor's degree,"125,000 to 149,999",working as paid employee
274,male,married,2,63,Master's degree,"60,000 to 74,999",not working - retired
274,female,married,2,64,Master's degree,"60,000 to 74,999",not working - retired
275,male,married,1,51,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - looking for work
275,female,married,1,55,Associate degree,"50,000 to 59,999",not working - looking for work
276,male,married,1,60,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",working as paid employee
276,female,married,1,59,"Some college, no degree","25,000 to 29,999",working as paid employee
277,male,married,1,64,Professional or doctorate degree,"175,000 or more",working as paid employee
277,female,married,1,60,Associate degree,"175,000 or more",working as paid employee
278,male,married,2,57,Associate degree,"7,500 to 9,999",not working - retired
278,female,married,4,53,High school graduate - diploma or the equivalent (GED),"7,500 to 9,999",not working - retired
279,male,married,1,63,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - retired
279,female,married,2,63,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - retired
280,male,partner,2,21,12th grade no diploma,"75,000 to 84,999","working, self-employed"
280,female,partner,2,19,"Some college, no degree","75,000 to 84,999",not working - on a temporary layoff from a job
281,male,married,2,53,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",not working - disabled
281,female,married,2,43,Bachelor's degree,"25,000 to 29,999",working as paid employee
282,male,married,2,45,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999","working, self-employed"
282,female,married,1,41,"Some college, no degree","60,000 to 74,999",working as paid employee
283,male,married,1,39,Bachelor's degree,"85,000 to 99,999",working as paid employee
283,female,married,1,38,Master's degree,"85,000 to 99,999",working as paid employee
284,male,married,1,49,Bachelor's degree,"60,000 to 74,999",working as paid employee
284,female,married,1,50,Bachelor's degree,"60,000 to 74,999",not working - other
285,male,married,1,37,Master's degree,"75,000 to 84,999",working as paid employee
285,female,married,1,33,Master's degree,"75,000 to 84,999",working as paid employee
286,male,married,1,52,"Some college, no degree","60,000 to 74,999","working, self-employed"
286,female,married,2,52,"Some college, no degree","60,000 to 74,999",working as paid employee
287,male,married,1,47,Bachelor's degree,"60,000 to 74,999",working as paid employee
287,female,married,1,51,"Some college, no degree","60,000 to 74,999","working, self-employed"
288,male,married,3,57,High school graduate - diploma or the equivalent (GED),"20,000 to 24,999",not working - disabled
288,female,married,5,48,10th grade,"20,000 to 24,999",not working - looking for work
289,male,married,1,61,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
289,female,married,1,55,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - other
290,male,married,2,59,Associate degree,"150,000 to 174,999",working as paid employee
290,female,married,2,60,Associate degree,"150,000 to 174,999",working as paid employee
291,male,married,1,48,Bachelor's degree,"100,000 to 124,999",not working - looking for work
291,female,married,1,42,Bachelor's degree,"100,000 to 124,999",working as paid employee
292,male,married,1,42,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
292,female,married,1,40,Professional or doctorate degree,"60,000 to 74,999",working as paid employee
293,male,partner,2,55,"Some college, no degree","60,000 to 74,999",not working - looking for work
293,female,partner,2,54,"Some college, no degree","60,000 to 74,999",not working - looking for work
294,male,married,1,53,Master's degree,"75,000 to 84,999",working as paid employee
294,female,married,1,52,"Some college, no degree","75,000 to 84,999",working as paid employee
295,male,married,2,32,Bachelor's degree,"85,000 to 99,999",working as paid employee
295,female,married,1,31,Bachelor's degree,"85,000 to 99,999",not working - other
296,male,married,2,61,"Some college, no degree","60,000 to 74,999",not working - retired
296,female,married,1,60,"Some college, no degree","60,000 to 74,999",not working - retired
297,male,married,1,59,Bachelor's degree,"60,000 to 74,999",working as paid employee
297,female,married,1,57,Bachelor's degree,"60,000 to 74,999","working, self-employed"
298,male,married,2,62,Master's degree,"85,000 to 99,999",not working - retired
298,female,married,1,57,Associate degree,"85,000 to 99,999",working as paid employee
299,male,married,1,35,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
299,female,married,1,44,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
300,male,married,2,39,Professional or doctorate degree,"125,000 to 149,999",working as paid employee
300,female,married,1,34,Master's degree,"125,000 to 149,999",working as paid employee
301,male,married,1,54,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
301,female,married,1,52,Bachelor's degree,"100,000 to 124,999",working as paid employee
302,male,married,1,58,High school graduate - diploma or the equivalent (GED),"175,000 or more",working as paid employee
302,female,married,1,55,Associate degree,"175,000 or more",working as paid employee
303,male,married,1,41,"Some college, no degree","40,000 to 49,999",working as paid employee
303,female,married,1,35,"Some college, no degree","40,000 to 49,999",working as paid employee
304,male,married,1,62,Associate degree,"60,000 to 74,999",not working - retired
304,female,married,1,62,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
305,male,married,1,53,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
305,female,married,1,52,Bachelor's degree,"75,000 to 84,999",working as paid employee
306,male,married,1,51,"Some college, no degree","75,000 to 84,999",not working - disabled
306,female,married,1,45,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
307,male,married,1,55,Associate degree,"50,000 to 59,999",working as paid employee
307,female,married,1,48,"Some college, no degree","50,000 to 59,999",not working - other
308,male,married,1,34,Associate degree,"60,000 to 74,999",working as paid employee
308,female,married,1,31,"Some college, no degree","60,000 to 74,999",working as paid employee
309,male,married,1,53,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999","working, self-employed"
309,female,married,2,54,"Some college, no degree","60,000 to 74,999",not working - other
310,male,married,2,36,Bachelor's degree,"100,000 to 124,999",working as paid employee
310,female,married,1,31,Bachelor's degree,"100,000 to 124,999",working as paid employee
311,male,married,1,57,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
311,female,married,1,62,Bachelor's degree,"40,000 to 49,999",not working - retired
312,male,married,1,43,Master's degree,"100,000 to 124,999",working as paid employee
312,female,married,1,39,Bachelor's degree,"100,000 to 124,999",working as paid employee
313,male,married,1,51,"Some college, no degree","100,000 to 124,999",working as paid employee
313,female,married,1,49,"Some college, no degree","100,000 to 124,999",not working - looking for work
314,male,partner,1,62,"Some college, no degree","75,000 to 84,999",not working - other
314,female,partner,1,62,Bachelor's degree,"75,000 to 84,999",not working - retired
315,male,married,1,55,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
315,female,married,1,54,"Some college, no degree","100,000 to 124,999",working as paid employee
316,male,partner,1,51,"Some college, no degree","150,000 to 174,999","working, self-employed"
316,female,partner,1,47,"Some college, no degree","150,000 to 174,999","working, self-employed"
317,male,married,1,32,Bachelor's degree,"35,000 to 39,999",working as paid employee
317,female,married,1,31,"Some college, no degree","35,000 to 39,999",working as paid employee
318,male,married,1,51,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
318,female,married,1,60,"Some college, no degree","85,000 to 99,999",working as paid employee
319,male,married,2,37,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
319,female,married,1,38,"Some college, no degree","75,000 to 84,999",working as paid employee
320,male,married,1,51,12th grade no diploma,"125,000 to 149,999",working as paid employee
320,female,married,4,44,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
321,male,married,2,52,Bachelor's degree,"75,000 to 84,999","working, self-employed"
321,female,married,1,52,"Some college, no degree","75,000 to 84,999",working as paid employee
322,male,married,1,54,"Some college, no degree","12,500 to 14,999","working, self-employed"
322,female,married,1,52,"Some college, no degree","12,500 to 14,999","working, self-employed"
323,male,married,1,53,12th grade no diploma,"35,000 to 39,999",working as paid employee
323,female,married,1,59,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",not working - disabled
324,male,married,1,52,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
324,female,married,1,44,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
325,male,married,1,38,"Some college, no degree","60,000 to 74,999","working, self-employed"
325,female,married,1,38,Bachelor's degree,"60,000 to 74,999",working as paid employee
326,male,married,2,55,9th grade,"15,000 to 19,999",not working - looking for work
326,female,married,2,51,Associate degree,"15,000 to 19,999",not working - disabled
327,male,married,1,28,Associate degree,"75,000 to 84,999",working as paid employee
327,female,married,1,27,Bachelor's degree,"75,000 to 84,999",working as paid employee
328,male,married,1,53,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
328,female,married,1,58,"Some college, no degree","85,000 to 99,999",working as paid employee
329,male,partner,1,63,Professional or doctorate degree,"175,000 or more",working as paid employee
329,female,partner,2,54,"Some college, no degree","175,000 or more",working as paid employee
330,male,partner,1,43,11th grade,"75,000 to 84,999",working as paid employee
330,female,partner,3,45,"Some college, no degree","75,000 to 84,999",working as paid employee
331,male,married,1,37,Bachelor's degree,"150,000 to 174,999",working as paid employee
331,female,married,2,38,Master's degree,"150,000 to 174,999",working as paid employee
332,male,married,1,35,Bachelor's degree,"60,000 to 74,999",working as paid employee
332,female,married,1,34,Bachelor's degree,"60,000 to 74,999",not working - on a temporary layoff from a job
333,male,married,1,39,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999","working, self-employed"
333,female,married,1,39,9th grade,"40,000 to 49,999",not working - looking for work
334,male,partner,2,50,Bachelor's degree,"100,000 to 124,999",working as paid employee
334,female,partner,2,50,Bachelor's degree,"100,000 to 124,999",working as paid employee
335,male,married,1,59,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",not working - retired
335,female,married,1,53,Bachelor's degree,"100,000 to 124,999",working as paid employee
336,male,married,1,36,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999","working, self-employed"
336,female,married,4,36,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
337,male,married,1,53,"Some college, no degree","85,000 to 99,999",working as paid employee
337,female,married,1,49,"Some college, no degree","85,000 to 99,999",working as paid employee
338,male,married,1,35,Bachelor's degree,"60,000 to 74,999",working as paid employee
338,female,married,1,33,Bachelor's degree,"60,000 to 74,999",not working - other
339,male,married,1,45,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",not working - on a temporary layoff from a job
339,female,married,1,46,Associate degree,"85,000 to 99,999",working as paid employee
340,male,married,2,53,Bachelor's degree,"60,000 to 74,999","working, self-employed"
340,female,married,2,49,Professional or doctorate degree,"60,000 to 74,999",working as paid employee
341,male,married,1,45,Master's degree,"85,000 to 99,999","working, self-employed"
341,female,married,1,46,Master's degree,"85,000 to 99,999","working, self-employed"
342,male,married,2,47,Bachelor's degree,"175,000 or more",working as paid employee
342,female,married,2,44,Bachelor's degree,"175,000 or more",working as paid employee
343,male,partner,1,60,Bachelor's degree,"100,000 to 124,999",not working - retired
343,female,partner,1,56,"Some college, no degree","100,000 to 124,999",working as paid employee
344,male,married,1,42,Master's degree,"30,000 to 34,999",working as paid employee
344,female,married,1,39,Master's degree,"30,000 to 34,999","working, self-employed"
345,male,married,1,52,Master's degree,"60,000 to 74,999",working as paid employee
345,female,married,1,52,"Some college, no degree","60,000 to 74,999",working as paid employee
346,male,married,1,53,Associate degree,"85,000 to 99,999",working as paid employee
346,female,married,1,62,"Some college, no degree","85,000 to 99,999",not working - retired
347,male,married,2,45,Bachelor's degree,"125,000 to 149,999",working as paid employee
347,female,married,2,44,Bachelor's degree,"125,000 to 149,999",working as paid employee
348,male,partner,2,31,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",working as paid employee
348,female,partner,4,34,12th grade no diploma,"35,000 to 39,999","working, self-employed"
349,male,married,1,57,Bachelor's degree,"60,000 to 74,999",working as paid employee
349,female,married,1,54,"Some college, no degree","60,000 to 74,999",working as paid employee
350,male,married,1,31,Bachelor's degree,"75,000 to 84,999",working as paid employee
350,female,married,1,32,"Some college, no degree","75,000 to 84,999",not working - other
351,male,married,1,52,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",not working - on a temporary layoff from a job
351,female,married,2,43,Professional or doctorate degree,"125,000 to 149,999",working as paid employee
352,male,married,1,60,Bachelor's degree,"125,000 to 149,999",working as paid employee
352,female,married,1,60,"Some college, no degree","125,000 to 149,999",working as paid employee
353,male,partner,1,27,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
353,female,partner,1,24,Bachelor's degree,"60,000 to 74,999",not working - looking for work
354,male,married,1,50,"Some college, no degree","60,000 to 74,999",working as paid employee
354,female,married,1,48,12th grade no diploma,"60,000 to 74,999",working as paid employee
355,male,married,1,27,"Some college, no degree","35,000 to 39,999",working as paid employee
355,female,married,2,36,Associate degree,"35,000 to 39,999",working as paid employee
356,male,married,1,41,Master's degree,"175,000 or more",working as paid employee
356,female,married,1,35,Bachelor's degree,"175,000 or more",working as paid employee
357,male,married,2,55,"Some college, no degree","100,000 to 124,999",working as paid employee
357,female,married,1,57,"Some college, no degree","100,000 to 124,999",not working - looking for work
358,male,married,1,63,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
358,female,married,2,61,Master's degree,"125,000 to 149,999",working as paid employee
359,male,married,1,44,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999","working, self-employed"
359,female,married,1,44,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",not working - other
360,male,married,1,61,Master's degree,"100,000 to 124,999",not working - disabled
360,female,married,1,59,Master's degree,"100,000 to 124,999",not working - retired
361,male,married,1,46,High school graduate - diploma or the equivalent (GED),"35,000 to 39,999",working as paid employee
361,female,married,1,47,"Some college, no degree","35,000 to 39,999",working as paid employee
362,male,partner,1,43,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",working as paid employee
362,female,partner,2,39,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",working as paid employee
363,male,married,1,58,"Some college, no degree","100,000 to 124,999",working as paid employee
363,female,married,1,49,"Some college, no degree","100,000 to 124,999",working as paid employee
364,male,married,1,42,Master's degree,"85,000 to 99,999",working as paid employee
364,female,married,1,39,"Some college, no degree","85,000 to 99,999",not working - other
365,male,married,2,51,"Some college, no degree","100,000 to 124,999",working as paid employee
365,female,married,1,46,Bachelor's degree,"100,000 to 124,999",working as paid employee
366,male,married,1,53,Master's degree,"175,000 or more",working as paid employee
366,female,married,1,52,Master's degree,"175,000 or more",working as paid employee
367,male,married,1,40,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",not working - looking for work
367,female,married,1,37,High school graduate - diploma or the equivalent (GED),"25,000 to 29,999",not working - other
368,male,married,1,61,"Some college, no degree","125,000 to 149,999",working as paid employee
368,female,married,1,62,Master's degree,"125,000 to 149,999",not working - retired
369,male,married,1,32,Master's degree,"50,000 to 59,999",working as paid employee
369,female,married,2,28,"Some college, no degree","50,000 to 59,999",not working - other
370,male,married,2,58,Associate degree,"15,000 to 19,999","working, self-employed"
370,female,married,2,60,"Some college, no degree","15,000 to 19,999",not working - other
371,male,married,1,44,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
371,female,married,1,40,High school graduate - diploma or the equivalent (GED),"100,000 to 124,999",working as paid employee
372,male,married,1,45,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",not working - disabled
372,female,married,3,39,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
373,male,married,2,61,"Some college, no degree","60,000 to 74,999",working as paid employee
373,female,married,2,59,Bachelor's degree,"60,000 to 74,999",working as paid employee
374,male,married,1,55,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
374,female,married,1,54,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
375,male,married,1,55,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
375,female,married,1,46,Bachelor's degree,"60,000 to 74,999",working as paid employee
376,male,married,2,31,"Some college, no degree","40,000 to 49,999",working as paid employee
376,female,married,2,34,Associate degree,"40,000 to 49,999",not working - other
377,male,married,1,26,Professional or doctorate degree,"40,000 to 49,999",working as paid employee
377,female,married,1,26,Bachelor's degree,"40,000 to 49,999",not working - other
378,male,married,1,51,"Some college, no degree","100,000 to 124,999",working as paid employee
378,female,married,1,44,Associate degree,"100,000 to 124,999",working as paid employee
379,male,married,1,58,Bachelor's degree,"60,000 to 74,999",working as paid employee
379,female,married,1,55,Bachelor's degree,"60,000 to 74,999",not working - retired
380,male,partner,4,49,"Some college, no degree","20,000 to 24,999",working as paid employee
380,female,partner,2,48,"Some college, no degree","20,000 to 24,999",not working - looking for work
381,male,married,1,59,Professional or doctorate degree,"85,000 to 99,999",working as paid employee
381,female,married,1,55,Master's degree,"85,000 to 99,999",working as paid employee
382,male,married,2,64,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",working as paid employee
382,female,married,2,58,"Some college, no degree","40,000 to 49,999",working as paid employee
383,male,married,1,47,Bachelor's degree,"125,000 to 149,999",working as paid employee
383,female,married,2,47,Bachelor's degree,"125,000 to 149,999",working as paid employee
384,male,married,1,49,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",not working - other
384,female,married,1,45,Associate degree,"125,000 to 149,999",working as paid employee
385,male,married,1,30,"Some college, no degree","40,000 to 49,999",working as paid employee
385,female,married,1,27,11th grade,"40,000 to 49,999",working as paid employee
386,male,married,1,49,Bachelor's degree,"125,000 to 149,999",working as paid employee
386,female,married,1,50,Bachelor's degree,"125,000 to 149,999",not working - other
387,male,married,1,35,Bachelor's degree,"25,000 to 29,999",not working - looking for work
387,female,married,3,34,Master's degree,"25,000 to 29,999",working as paid employee
388,male,married,1,59,"Some college, no degree","75,000 to 84,999",working as paid employee
388,female,married,1,59,"Some college, no degree","75,000 to 84,999",working as paid employee
389,male,married,1,42,Professional or doctorate degree,"100,000 to 124,999",working as paid employee
389,female,married,1,46,Master's degree,"100,000 to 124,999",working as paid employee
390,male,married,2,37,High school graduate - diploma or the equivalent (GED),"15,000 to 19,999",not working - other
390,female,married,2,36,"Some college, no degree","15,000 to 19,999",not working - disabled
391,male,married,2,41,Bachelor's degree,"40,000 to 49,999",working as paid employee
391,female,married,1,37,Master's degree,"40,000 to 49,999",not working - other
392,male,married,4,41,"Some college, no degree","50,000 to 59,999",not working - looking for work
392,female,married,5,37,"Some college, no degree","50,000 to 59,999",working as paid employee
393,male,married,1,62,"Some college, no degree","100,000 to 124,999",working as paid employee
393,female,married,1,61,Master's degree,"100,000 to 124,999",working as paid employee
394,male,married,1,24,Bachelor's degree,"50,000 to 59,999",working as paid employee
394,female,married,1,24,"Some college, no degree","50,000 to 59,999",not working - other
395,male,married,1,35,Professional or doctorate degree,"40,000 to 49,999",working as paid employee
395,female,married,2,29,Master's degree,"40,000 to 49,999",not working - looking for work
396,male,partner,2,54,"Some college, no degree","60,000 to 74,999",not working - looking for work
396,female,partner,1,53,Master's degree,"60,000 to 74,999",working as paid employee
397,male,married,1,48,Master's degree,"150,000 to 174,999",working as paid employee
397,female,married,1,53,Bachelor's degree,"150,000 to 174,999",working as paid employee
398,male,married,1,40,Bachelor's degree,"125,000 to 149,999",working as paid employee
398,female,married,2,32,Bachelor's degree,"125,000 to 149,999",working as paid employee
399,male,married,4,62,Bachelor's degree,"35,000 to 39,999",not working - disabled
399,female,married,5,56,Bachelor's degree,"35,000 to 39,999",not working - looking for work
400,male,married,1,60,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",not working - retired
400,female,married,1,60,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",not working - retired
401,male,married,1,42,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
401,female,married,1,45,High school graduate - diploma or the equivalent (GED),"75,000 to 84,999",working as paid employee
402,male,married,1,32,Professional or doctorate degree,"50,000 to 59,999",working as paid employee
402,female,married,1,31,Bachelor's degree,"50,000 to 59,999","working, self-employed"
403,male,married,1,42,Bachelor's degree,"125,000 to 149,999",working as paid employee
403,female,married,1,40,Bachelor's degree,"125,000 to 149,999",working as paid employee
404,male,married,1,43,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
404,female,married,1,41,"Some college, no degree","85,000 to 99,999",working as paid employee
405,male,married,1,59,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
405,female,married,1,57,7th or 8th grade,"60,000 to 74,999",working as paid employee
406,male,partner,2,33,"Some college, no degree","15,000 to 19,999",not working - looking for work
406,female,partner,2,31,Associate degree,"15,000 to 19,999",not working - disabled
407,male,married,1,25,Bachelor's degree,"50,000 to 59,999",working as paid employee
407,female,married,1,21,"Some college, no degree","50,000 to 59,999",not working - other
408,male,partner,3,30,Bachelor's degree,"125,000 to 149,999",working as paid employee
408,female,partner,2,29,Bachelor's degree,"125,000 to 149,999",working as paid employee
409,male,married,4,55,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999",working as paid employee
409,female,married,1,53,Associate degree,"85,000 to 99,999",working as paid employee
410,male,married,1,31,9th grade,"10,000 to 12,499",working as paid employee
410,female,married,3,32,10th grade,"10,000 to 12,499",not working - other
411,male,married,1,32,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
411,female,married,1,30,Master's degree,"60,000 to 74,999",working as paid employee
412,male,married,1,41,11th grade,"40,000 to 49,999",working as paid employee
412,female,married,2,40,"Some college, no degree","40,000 to 49,999",working as paid employee
413,male,married,1,35,"Some college, no degree","75,000 to 84,999",working as paid employee
413,female,married,1,33,Master's degree,"75,000 to 84,999",working as paid employee
414,male,married,4,62,"Some college, no degree","60,000 to 74,999",working as paid employee
414,female,married,5,52,"Some college, no degree","60,000 to 74,999",not working - other
415,male,married,4,60,"Some college, no degree","125,000 to 149,999",working as paid employee
415,female,married,4,58,"Some college, no degree","125,000 to 149,999",working as paid employee
416,male,married,1,61,Bachelor's degree,"175,000 or more",working as paid employee
416,female,married,1,63,Master's degree,"175,000 or more",not working - retired
417,male,married,1,36,High school graduate - diploma or the equivalent (GED),"50,000 to 59,999",working as paid employee
417,female,married,2,31,Bachelor's degree,"50,000 to 59,999",not working - other
418,male,partner,1,51,"Some college, no degree","75,000 to 84,999","working, self-employed"
418,female,partner,1,53,Bachelor's degree,"75,000 to 84,999","working, self-employed"
419,male,married,1,52,"Some college, no degree","75,000 to 84,999",working as paid employee
419,female,married,1,48,"Some college, no degree","75,000 to 84,999",working as paid employee
420,male,married,1,33,Bachelor's degree,"100,000 to 124,999",working as paid employee
420,female,married,1,29,"Some college, no degree","100,000 to 124,999",working as paid employee
421,male,married,2,40,Associate degree,"75,000 to 84,999",working as paid employee
421,female,married,1,40,Associate degree,"75,000 to 84,999",working as paid employee
422,male,partner,2,60,Bachelor's degree,"60,000 to 74,999","working, self-employed"
422,female,partner,1,52,"Some college, no degree","60,000 to 74,999","working, self-employed"
423,male,married,1,50,"Some college, no degree","60,000 to 74,999",working as paid employee
423,female,married,1,50,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
424,male,married,1,41,Bachelor's degree,"150,000 to 174,999",working as paid employee
424,female,married,1,35,Professional or doctorate degree,"150,000 to 174,999",working as paid employee
425,male,married,2,46,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
425,female,married,2,45,High school graduate - diploma or the equivalent (GED),"60,000 to 74,999",working as paid employee
426,male,married,1,37,7th or 8th grade,"175,000 or more",not working - disabled
426,female,married,1,46,10th grade,"175,000 or more",not working - disabled
427,male,married,1,63,Bachelor's degree,"60,000 to 74,999",not working - retired
427,female,married,1,64,"Some college, no degree","60,000 to 74,999",not working - retired
428,male,married,1,63,Professional or doctorate degree,"100,000 to 124,999",working as paid employee
428,female,married,1,63,Bachelor's degree,"100,000 to 124,999",working as paid employee
429,male,married,1,36,Master's degree,"100,000 to 124,999",working as paid employee
429,female,married,1,32,Master's degree,"100,000 to 124,999",working as paid employee
430,male,married,1,64,High school graduate - diploma or the equivalent (GED),"40,000 to 49,999",not working - retired
430,female,married,2,63,"Some college, no degree","40,000 to 49,999",not working - retired
431,male,married,1,23,High school graduate - diploma or the equivalent (GED),"30,000 to 34,999",working as paid employee
431,female,married,1,24,High school graduate - diploma or the equivalent (GED),"30,000 to 34,999",not working - other
432,male,married,1,30,Bachelor's degree,"75,000 to 84,999","working, self-employed"
432,female,married,1,30,Professional or doctorate degree,"75,000 to 84,999",working as paid employee
433,male,married,1,48,Master's degree,"100,000 to 124,999",working as paid employee
433,female,married,1,48,Bachelor's degree,"100,000 to 124,999",not working - other
434,male,married,1,30,Bachelor's degree,"60,000 to 74,999",working as paid employee
434,female,married,1,27,Bachelor's degree,"60,000 to 74,999",working as paid employee
435,male,married,1,54,Master's degree,"100,000 to 124,999",working as paid employee
435,female,married,1,55,Master's degree,"100,000 to 124,999",working as paid employee
436,male,married,2,61,Bachelor's degree,"50,000 to 59,999",not working - retired
436,female,married,1,61,Bachelor's degree,"50,000 to 59,999",not working - retired
437,male,married,2,39,Bachelor's degree,"85,000 to 99,999",working as paid employee
437,female,married,1,36,Master's degree,"85,000 to 99,999",not working - other
438,male,married,2,55,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",not working - retired
438,female,married,2,52,Bachelor's degree,"125,000 to 149,999",working as paid employee
439,male,married,1,43,Bachelor's degree,"40,000 to 49,999",working as paid employee
439,female,married,2,43,Bachelor's degree,"40,000 to 49,999",not working - other
440,male,married,1,44,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
440,female,married,1,42,High school graduate - diploma or the equivalent (GED),"125,000 to 149,999",working as paid employee
441,male,married,1,33,High school graduate - diploma or the equivalent (GED),"85,000 to 99,999","working, self-employed"
